,Title,BodyPart,Equipment,Level,url
567,Lunge with overhead reach,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=faGH-tlwd_w
568,Hang from bar,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=rUzNdTmRDx8
569,Total Fitness Hollow Hold,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=FYojATjHStg
570,Total Fitness Side Plank,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=WYvl9p9EqEE
571,Side plank pulse,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=yJUwoLfVCS8
572,Total Fitness Spider Crawl (Unweighted),Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=Izx_JoAsK14
573,Total Fitness V-Up,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=nn5knkN9qHY
574,MetaBurn Alternating Knee-to-Elbow Mountain Climber,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=XU0IHBMLHVc
575,Alternating sit-through with crunch-,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=5vRj_XHfOmI
576,MetaBurn Alternating Toe-Touch,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=NOb7EW_q_yg
577,MetaBurn Janda Sit-Up,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=d_2-bJFmqWw
578,MetaBurn Oblique Roll Crunch,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=AcvfBd9C2kA
579,MetaBurn Plank Jack,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=e_oJ-HqmF10
580,MetaBurn Plank To Alternating Side Plank,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=Buzv0kqwVNs
581,MetaBurn Plank Up-Down,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=3Wn0-JyAZm8
582,MetaBurn Plank Wiper,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=frtq8VGruVg
583,MetaBurn Plank With Alternating Toe-Touch,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=nF7ETJ0esjQ
584,MetaBurn Plyo Push-Up,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=Z1hBVYb3Gi0
585,MetaBurn Psycho Crunch,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=pcw73wmu-TI
586,MetaBurn Scapular Retraction Plank,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=Bzgz5stSV9Y
587,MetaBurn Scapular Retraction Plank Hold,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=tyxDTbVn_gg
588,MetaBurn Scorpion,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=q9Sllm2jEss
